[2025-03-04 17:47:48] | INFO | GET /favicon.ico
[2025-03-04 17:47:48] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:47:54] | INFO | POST пришел такой запрос /upload
[2025-03-04 17:47:54] | INFO | POST /upload
[2025-03-04 17:47:54] | INFO | Upload succes /upload
[2025-03-04 17:47:54] | INFO | GET /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-04 17:47:54] | WARNING | GET 404 /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-04 17:47:55] | INFO | GET /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-04 17:47:55] | WARNING | GET 404 /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-04 17:47:55] | INFO | GET /favicon.ico
[2025-03-04 17:47:55] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:51:32] | INFO | GET /upload
[2025-03-04 17:51:32] | INFO | GET /favicon.ico
[2025-03-04 17:51:32] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:51:32] | INFO | GET /favicon.ico
[2025-03-04 17:51:32] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:51:39] | INFO | POST пришел такой запрос /upload
[2025-03-04 17:51:39] | INFO | POST /upload
[2025-03-04 17:51:39] | INFO | Upload succes /upload
[2025-03-04 17:51:39] | INFO | GET /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-04 17:51:39] | WARNING | GET 404 /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-04 17:51:39] | INFO | GET /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-04 17:51:39] | WARNING | GET 404 /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-04 17:51:39] | INFO | GET /favicon.ico
[2025-03-04 17:51:39] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:52:11] | INFO | GET /upload
[2025-03-04 17:52:13] | INFO | GET /upload/
[2025-03-04 17:52:13] | WARNING | GET 404 /upload/
[2025-03-04 17:52:14] | INFO | GET /favicon.ico
[2025-03-04 17:52:14] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:52:14] | INFO | GET /favicon.ico
[2025-03-04 17:52:14] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:52:15] | INFO | GET /favicon.ico
[2025-03-04 17:52:15] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:52:15] | INFO | POST пришел такой запрос /upload
[2025-03-04 17:52:15] | INFO | POST /upload
[2025-03-04 17:52:15] | INFO | Upload succes /upload
[2025-03-04 17:52:16] | INFO | GET /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-04 17:52:16] | WARNING | GET 404 /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-04 17:52:16] | INFO | GET /favicon.ico
[2025-03-04 17:52:16] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:52:21] | INFO | GET /upload
[2025-03-04 17:52:21] | INFO | GET /favicon.ico
[2025-03-04 17:52:21] | WARNING | GET 404 /favicon.ico
[2025-03-04 17:52:26] | INFO | POST пришел такой запрос /upload
[2025-03-04 17:52:26] | INFO | POST /upload
[2025-03-04 17:52:26] | INFO | Upload succes /upload
[2025-03-04 17:52:26] | INFO | GET /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-04 17:52:26] | WARNING | GET 404 /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-04 17:52:26] | INFO | GET /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-04 17:52:26] | WARNING | GET 404 /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-04 17:52:27] | INFO | GET /favicon.ico
[2025-03-04 17:52:27] | WARNING | GET 404 /favicon.ico
[2025-03-05 09:12:38] | INFO | GET /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-05 09:12:38] | WARNING | GET 404 /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-05 09:12:38] | INFO | GET /favicon.ico
[2025-03-05 09:12:38] | WARNING | GET 404 /favicon.ico
[2025-03-05 09:12:38] | INFO | GET /favicon.ico
[2025-03-05 09:12:38] | WARNING | GET 404 /favicon.ico
[2025-03-09 10:12:01] | INFO | GET /upload
[2025-03-09 10:12:01] | INFO | GET /favicon.ico
[2025-03-09 10:12:01] | WARNING | GET 404 /favicon.ico
[2025-03-09 10:12:02] | INFO | GET /favicon.ico
[2025-03-09 10:12:02] | WARNING | GET 404 /favicon.ico
[2025-03-09 10:12:19] | INFO | POST /upload
[2025-03-09 10:12:19] | INFO | POST /upload
[2025-03-09 10:12:19] | INFO | Успех: Изображение aefe12d3-8c8e-42b8-bcbf-378340866b0d.pdf загружено
[2025-03-09 10:12:19] | INFO | GET /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:12:19] | WARNING | GET 404 /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:12:19] | INFO | GET /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:12:19] | WARNING | GET 404 /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:12:19] | INFO | GET /favicon.ico
[2025-03-09 10:12:19] | WARNING | GET 404 /favicon.ico
[2025-03-09 10:13:55] | INFO | GET /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:13:55] | WARNING | GET 404 /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:13:58] | INFO | GET /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:13:58] | WARNING | GET 404 /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:13:59] | INFO | GET /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:13:59] | WARNING | GET 404 /images/aefe12d3-8c8e-42b8-bcbf-378340866b0d.jpg
[2025-03-09 10:14:43] | INFO | GET /images
[2025-03-09 10:14:44] | INFO | GET /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-09 10:14:44] | WARNING | GET 404 /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-09 10:14:44] | INFO | GET /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:14:44] | WARNING | GET 404 /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:14:44] | INFO | GET /images/29ffff00-e69b-41d1-9770-a8e86bde51d1.jpg
[2025-03-09 10:14:44] | WARNING | GET 404 /images/29ffff00-e69b-41d1-9770-a8e86bde51d1.jpg
[2025-03-09 10:14:44] | INFO | GET /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-09 10:14:44] | WARNING | GET 404 /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-09 10:14:44] | INFO | GET /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-09 10:14:44] | WARNING | GET 404 /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-09 10:14:44] | INFO | GET /images/85c8d6e6-f3cd-4d7c-a82d-e6326a29830e.jpg
[2025-03-09 10:14:44] | WARNING | GET 404 /images/85c8d6e6-f3cd-4d7c-a82d-e6326a29830e.jpg
[2025-03-09 10:14:44] | INFO | GET /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-09 10:14:44] | WARNING | GET 404 /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-09 10:14:44] | INFO | GET /favicon.ico
[2025-03-09 10:14:44] | WARNING | GET 404 /favicon.ico
[2025-03-09 10:23:57] | INFO | GET /
[2025-03-09 10:23:57] | WARNING | GET 404 /
[2025-03-09 10:23:58] | INFO | GET /
[2025-03-09 10:23:58] | WARNING | GET 404 /
[2025-03-09 10:23:58] | INFO | GET /
[2025-03-09 10:23:58] | WARNING | GET 404 /
[2025-03-09 10:23:59] | INFO | GET /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:23:59] | INFO | GET /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:23:59] | INFO | GET /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-09 10:23:59] | INFO | GET /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/0a640f8b-9083-42e2-96ba-6d239c6c89e2.jpg
[2025-03-09 10:23:59] | INFO | GET /images/29ffff00-e69b-41d1-9770-a8e86bde51d1.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/29ffff00-e69b-41d1-9770-a8e86bde51d1.jpg
[2025-03-09 10:23:59] | INFO | GET /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/562b89d5-6089-4d8b-a35a-77debe64279d.jpg
[2025-03-09 10:23:59] | INFO | GET /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/67fdfb39-c656-481a-9806-098100ee7e63.jpg
[2025-03-09 10:23:59] | INFO | GET /images/85c8d6e6-f3cd-4d7c-a82d-e6326a29830e.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/85c8d6e6-f3cd-4d7c-a82d-e6326a29830e.jpg
[2025-03-09 10:23:59] | INFO | GET /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-09 10:23:59] | WARNING | GET 404 /images/99a3191b-cdb7-46e2-94c4-162b687429d6.jpg
[2025-03-09 10:23:59] | INFO | GET /favicon.ico
[2025-03-09 10:23:59] | WARNING | GET 404 /favicon.ico
[2025-03-09 10:24:05] | INFO | GET /
[2025-03-09 10:24:05] | WARNING | GET 404 /
[2025-03-09 10:24:06] | INFO | GET /
[2025-03-09 10:24:06] | WARNING | GET 404 /
[2025-03-09 10:24:07] | INFO | GET /
[2025-03-09 10:24:07] | WARNING | GET 404 /
[2025-03-09 10:24:07] | INFO | GET /
[2025-03-09 10:24:07] | WARNING | GET 404 /
[2025-03-09 10:24:14] | INFO | GET /upload/
[2025-03-09 10:24:14] | WARNING | GET 404 /upload/
[2025-03-09 10:24:14] | INFO | GET /upload/
[2025-03-09 10:24:14] | WARNING | GET 404 /upload/
[2025-03-09 10:24:14] | INFO | GET /upload/
[2025-03-09 10:24:14] | WARNING | GET 404 /upload/
[2025-03-09 10:24:15] | INFO | GET /upload/
[2025-03-09 10:24:15] | WARNING | GET 404 /upload/
[2025-03-09 10:24:15] | INFO | GET /upload/
[2025-03-09 10:24:15] | WARNING | GET 404 /upload/
[2025-03-09 10:24:15] | INFO | GET /upload/
[2025-03-09 10:24:15] | WARNING | GET 404 /upload/
[2025-03-09 10:24:20] | INFO | GET /upload/
[2025-03-09 10:24:20] | WARNING | GET 404 /upload/
[2025-03-09 10:24:20] | INFO | GET /upload/
[2025-03-09 10:24:20] | WARNING | GET 404 /upload/
[2025-03-09 10:24:20] | INFO | GET /upload/
[2025-03-09 10:24:20] | WARNING | GET 404 /upload/
[2025-03-09 10:24:22] | INFO | GET /upload
[2025-03-09 10:24:23] | INFO | GET /favicon.ico
[2025-03-09 10:24:23] | WARNING | GET 404 /favicon.ico
[2025-03-09 10:24:24] | INFO | GET /favicon.ico
[2025-03-09 10:24:24] | WARNING | GET 404 /favicon.ico
